S1E1,Dialogue
TODD, Did you say you've had tapeworms?
PINKY," Thanks for meeting me here. I would have invited you to my office, but the electric company shut off our power."
BOJACK, That's unfortunate.
PINKY," Just an issue with the bank and a lack of money in it. Now, as you know, Penguin is very eager to publish your memoirs, but you keep missing your deadlines."
BOJACK," I know, and I'm sorry, but I am making great progress."
BOJACK, BoJack Horseman
PINKY," Look, we really need a bestseller here at Penguin. Things are not that great for me, money wise."
BOJACK, Aren't you an editor at a major publishing house?
PINKY," Yeah, a publishing house. When was the last time you saw a book?"
BOJACK," I thought I saw someone reading one in the park the other day, but it turned out it was a takeout menu."
WAITRESS, Whenever you're ready.
PINKY," We're living month to month here. We're kind of counting on your autobiography to save the company, no pressure."
BOJACK, That's actually a lot of pressure.
PINKY, Have you considered working with a ghostwriter?
BOJACK," Ugh, no, thank you. Look, just give me one more week, and I will give you some pages that'll knock your ass back to the South Pole."
PINKY, I'm from Cincinnati. It - that doesn't matter. I'll call you in a week.
BOJACK," Yes, one week. I'm telling you, this book is a top priority for me."
BOJACK," Oh, right. Yeesh."
BOJACK ON TV, You're wearing that to the prom?
SARAH," What, you don't think it's cute?"
BOJACK ON TV," Neigh way, Jose."
BOJACK," ""Neigh way, Jose."" I improvised that line. I mean, it was written, but I gave it the old BoJack spin."
TODD," Hey, how many times have you watched this episode?"
BOJACK," Yeah, but do you get it, though? Because ""nay"" means no, but it's also a thing that horses say. It works on every level."
TODD, I get it.
BOJACK," Ah, you don't get it."
TODD, Are you drunk?
BOJACK," Todd, I weigh over 1,200 pounds. It takes a lot of beer to get me drunk. Yes."
TODD," Ah, yeah, I see. You're just bummed out because Princess Carolyn dumped you last night."
PRINCESS CAROLYN," BoJack, we need to talk."
BOJACK," Hey, check out the rug on that guy."
TURTLETAUB," Slow and steady, am I right, ladies? "
BOJACK, Who does he think he's fooling? Turtles don't have hair.
PRINCESS CAROLYN, Stop embarrassing me. That is Lenny Turteltaub.
BOJACK," You know, I am not crazy about the bread here. Mm. Why do I keep eating it?"
PRINCESS CAROLYN," BoJack, can you please just listen for a second?"
BOJACK, You have my undivided attention.
PRINCESS CAROLYN, I think we should see other people.
BOJACK, Were we not seeing other people?
GIRL," BoJack, I'm almost there."
BOJACK, Wait. Shh! Shut up.
BOJACK ON TV," Now, that's a horse of a different - cruller?"
BOJACK," Oh! God, that's good comedy."
PRINCESS CAROLYN, BoJack!
BOJACK," What? Everyone gets a mulligan, and my mulligan was Carey Mulligan. I'm kidding, jeez. It was Emily Mortimer."
BOJACK, What is the problem here? Are you embarrassed of me because I'm a has-been? Because you know that I'm writing that book that is gonna make everybody love me again.
PRINCESS CAROLYN, You're not really writing a book.
BOJACK," Well, I already spent my advance, so that's a first step."
PRINCESS CAROLYN," Look, this has been a lot of fun, but I need to start thinking about my future. I mean, you don't even respect me enough to have a baby with me."
BOJACK," Whoa, what? I never explicitly said that."
PRINCESS CAROLYN, You said it with your actions.
BOJACK, What actions?
PRINCESS CAROLYN," Oh, look at that baby. Isn't he the cutest baby you ever saw?"
BOJACK," What? What? What? No, no, wha "
COP," Step away from the stolen vehicle, sir!"
BOJACK," No, no, no. Misunderstanding, officer. I was running away from my girlfriend whom I don't respect enough to have a baby with."
COP," Hey, aren't you the horse from Horsin' Around?"
PRINCESS CAROLYN," Oh, face it. You're afraid of commitment."
BOJACK, I'm not afraid of commitment. I commit to things all the time. It's the following through on that commitment that I take issue with.
PRINCESS CAROLYN," Hey, stupid, isn't that your friend over there? Oh, Mr."
BOJACK," Peanutbutter? God, I hope he doesn't see us."
MR. PEANUTBUTTER, Is that BoJack Horseman?
BOJACK," Oh, jeez, here we go."
MR. PEANUTBUTTER," Mr. Peanutbutter and BoJack Horseman in the same room. What is this, a crossover episode?"
BOJACK," You know, that gets funnier every time."
MR. PEANUTBUTTER," You're being sarcastic, but I think it does actually get funnier every time."
BOJACK, We're actually in the middle of breaking up right now... so if you could just
MR. PEANUTBUTTER, Yeah? You're in the middle of it?
BOJACK," Yeah, that's right."
MR. PEANUTBUTTER, So would it be awkward if I joined you right now?
BOJACK," Yes, actually, it's very awkward. Is that not clear?"
MR. PEANUTBUTTER," Yeah, this is awkward right now?"
BOJACK," Yes, please leave."
PRINCESS CAROLYN," How are you, Mr. Peanutbutter?"
MR. PEANUTBUTTER," Oh, living the dream, P.C., living the dream."
BOJACK, Why are you making conversation?
PRINCESS CAROLYN," Oh, let's see, it's the English word"
BOJACK, But am I crazy that this is a bad time?
MR. PEANUTBUTTER," Always a Clydesdale, never a Clyde, eh, BoJack?"
BOJACK, What?
MR. PEANUTBUTTER," You'll get that one later, man."
MR. PEANUTBUTTER," Erica, get out of here with that face!"
PRINCESS CAROLYN, Would it kill you to be civil? This is why we're breaking up.
BOJACK, So it's not because of the thing with the baby?
PRINCESS CAROLYN," It's because of a lot of things! Waiter, could we please have the check? Thank you."
BOJACK, We haven't even ordered yet.
PRINCESS CAROLYN," I have wasted so many dinners on you, BoJack Horseman. I don't know how you can expect anyone else to love you when you so clearly hate yourself."
WAITER, Here you go.
BOJACK, Let me see that. $10 for bread?
BOJACK, I don't want to live in a society where the pre-meal bread isn't free.
WAITER, It is free if you order a meal.
PRINCESS CAROLYN," Can you take me home, please?"
BOJACK," Yeah, but I didn't even eat that much bread. What did I have? I must have had-"
WAITER," You ate nine baskets, sir."
BOJACK," Nine really? Great, now I'm gonna feel like a fat ass all week."
BOJACK, You've seen me naked. Do you think I'm getting chubby?
PRINCESS CAROLYN, You want to know the real reason we're breaking up?
BOJACK, What was that? Sorry. Couldn't hear you over the sound of my calories not metabolizing.
PRINCESS CAROLYN, This is so classic you. You're using this bread thing to avoid talking about our relationship.
BOJACK," No, that is definitely not happening."
PRINCESS CAROLYN, I'd like to go home now.
BOJACK, You think I'm fat.
BOJACK," So yeah, technically I was dumped, but the real headline of the evening was, ""Dumb guy eats bread, gets fat, the end."""
TODD, What kind of headline is that?
BOJACK, Wasn't there a pizza here a second ago? God damn it! Stop the presses.
TODD," You're not fat. Oh, hey, let's throw a party. That'll cheer you up."
BOJACK," No, it won't. It'll cheer you up."
BOJACK, I'll stand in the corner by myself eating cotton candy until I barf like I did at your last party.
STRANGER," Hey, aren't you the horse from Horsin' Around?"
TODD,"That was a good party. Hey, didn't we get a cotton candy machine for that party?"
BOJACK, Who told you Princess Carolyn and I broke up?
TODD, She did.
BOJACK, What?
PRINCESS CAROLYN," You never took me home, jerk!"
BOJACK," Oh, everything's my fault."
PRINCESS CAROLYN, Take me home.
BOJACK," Okay, jeez. But I'm not looking for parking in Silver Lake. I'll slow the car down to a crawl, and you can duck and roll."
PRINCESS CAROLYN," You know what, you can take a last look at this face, because it's the last time you're gonna see it- Hey-up! "
OPERATOR, Hello? I've got Princess Carolyn for you.
BOJACK," Uh, okay."
PRINCESS CAROLYN, BoJack.
BOJACK," Oh, my God, we just broke up."
PRINCESS CAROLYN," Yeah, but I'm still your agent. I pride myself on my ability to separate my professional life from my personal life."
BOJACK," Great. Then, as my agent, do you think I'm getting fat?"
PRINCESS CAROLYN," No way. You are in the prime of your life, never looked better."
BOJACK, What about as my ex-girlfriend?
PRINCESS CAROLYN, You look like a pile of crap ate a second pile of crap and then crapped out a third pile of crap.
BOJACK," Wait, wait, so which pile of crap do I look like?"
PRINCESS CAROLYN, The third one.
BOJACK, What? That's the worst one.
PRINCESS CAROLYN," I'm not calling you as your ex. I'm calling you as your agent. Remember that book you're pretending to write? Well, Penguin wants an update on your progress. Does Tuesday work for you, or are you gonna be too busy this week masturbating to old pictures of yourself?"
BOJACK," I told you, that's not what was happening that time. I was masturbating to what the picture represented. You walked in at the worst possible moment!"
PRINCESS CAROLYN," So, Tuesday, though?"
BOJACK," Yes, fine!"
PINKY, You don't have anything?
BOJACK," Hey, you got the electricity back. Good for you."
PINKY, This company is in dire straits. We made a series of very bad investments. Ever hear of a young adult franchise called the Swamp Monsters of Malibu?
BOJACK," Uh, no."
PINKY," Then why did we spend $20 million on marketing? Cries and slams on his desk It's okay, Pinky, go to your happy place. Uh Look, I know you're a busy guy."
BOJACK," Actually, I am a busy guy. I live a very active lifestyle."
BOJACK ON TV," I know kindergarten is scary, but you're a big girl now, and you have to be brave."
SARAH LYNN," Okay, Daddy."
BOJACK ON TV," Wait, did you just call me Daddy?"
BOJACK," Little Sabrina grew up right before our eyes, right, Todd? Todd? Todd!"
TODD, What?
BOJACK, Did Sabrina grow up before our eyes?
TODD, Yes!
PINKY, We're tired of waiting. We're hiring you a ghostwriter.
BOJACK, Diane Nugent?
PINKY," She's great, and she's got a thing for horses. Check this out."
BOJACK," Hey, Secretariat. You know, I always wanted to play Secretariat in a movie. He's kind of my personal hero. Could never get the project off the ground, though. I mean, there was this one time I came close in the '90s, but then those pre-Fontaine movies came out and people got tired of seeing him running on-screen."
PINKY, Don't tell me. Tell her!
BOJACK, She's cute.
PINKY," Call her. That's a loan, by the way. We can't afford to be giving out free books to people, but you can take anything you want from the Swamp Monsters swag box."
BOJACK," Oh, God, I'm a failure."
TODD," Oh, you're not a failure."
BOJACK, Why did I say I could write a book?
TODD, Because you have an amazing story to tell. Relax.
BOJACK," Relax? Easy for you to say, you hippie. You've never had a day of stress in your life."
TODD, Ow. Why?
MOB BOSS, And that's for trying to sell E on the cartel's turf.
TODD," Oh, where's Gabriela?"
MOB BOSS," She went back to Mexico City, ese, to be with her husband."
TODD," What? No! - Gabriela, why?"
BOJACK," Who? We were talking about me. Can you try to focus for, like, a second?"
TODD," Oh, yeah, sorry. You were saying?"
BOJACK, Never should have signed this book deal. You know what my problem is? I can't say no to people because I want everyone to like me.
TODD, You want everyone to like you?
BOJACK," Yeah, why? Do people not like me?"
TODD, for 10 minutes Uh Uh What were we talking about?
BOJACK," I can see the headline now, ""Stupid BoJack writes a stupid book about his stupid life, nobody cares."""
TODD, What newspapers are you reading?
PRINCESS CAROLYN," Hey, why don't you just let that lady write your book and be done with it?"
BOJACK," Better question, why are you in my kitchen?"
PRINCESS CAROLYN," I'm making breakfast. We had sex last night, dummy."
BOJACK," Ugh, I really got to start putting my phone on airplane mode when I drink."
BOJACK," This lady probably thinks I'm just some dumb sitcom actor. I hate her and her stupid, impossible-to-pronounce last name, Na-goo-ya-go-goo-goo-goo-ga."
TODD," You haven't even met her. Give her a chance. Oh, you should invite her to the party."
BOJACK, What party? Why are you so obsessed with throwing a party all of a sudden?
MOB BOSS," You know how much money we lost 'cause of you? I can't even afford a hall now for my daughter's 15th birthday, and now I got a hundred guests coming and nowhere to put them. You owe me a party, and if you don't deliver"
TODD, Because parties are fun?
BOJACK, This book is really important to me. I don't want to just hand it off to some stranger.
PRINCESS CAROLYN," If it's so important, why have you written literally nothing in a year and a half?"
BOJACK," It's too much pressure. This book is my one shot at preserving my legacy. I'm a joke, and if this book isn't good, I'm gonna be a joke forever. Everyone thinks that I'm just this washed-up hack, but actually Oh, God, actually, what if they're right? I can't breathe. Am I dying? Toast. I smell burning toast!"
PRINCESS CAROLYN," Oh, my God, my toast!"
BOJACK," Todd, on my grave, I want it to say that I was born in 1975."
TODD, No one's gonna believe-
BOJACK," Damn it, can't you respect a dying man's wish?"
TODD, You're not dying.
DOCTOR," Well, we did everything we could. Nurse, record the time of death. It doesn't get easier. It never gets easier."
SABRINA, What I don't What do you mean he's dead?
DOCTOR," That's right, sweetheart. He died of a broken heart because you didn't appreciate him enough, and now he's gone forever."
BOJACK, We might have gone too dark on that series finale.
DOCTOR, I'm required to hand you over to the child protective services. You're the state's problem now.
TODD, Do you just take those DVDs with you everywhere you go?
BOJACK, Linus walked around with a blanket. No one gave him shit for it.
PRINCESS CAROLYN, How long is that doctor going to take? I have a meeting with another client at 3
BOJACK, You have other clients?
PRINCESS CAROLYN," No, I make a living off you sitting on your ass all day."
BOJACK, Are your other clients more talented than I am? Your silence speaks volumes.
PRINCESS CAROYLN, That was my intention
PIG DOCTOR," Well, BoJack, it looks like what you experienced was a mild anxiety attack."
BOJACK," Jesus, if that's mild, I don't want to know what spicy feels like. Too smart for the room? It was a salsa joke, people."
PIG DOCTOR, You've been overstressed. I need you to take it easy.
PRINCESS CAROLYN," Take it easy, are you kidding? He doesn't have a job. He has no real responsibilities. He doesn't do anything but take it easy."
PIG DOCTOR," Well, can you take it even easier?"
BOJACK," I can try, doctor. I can try."
PRINCESS CAROLYN, This book deal is obviously stressing you out. Will you just call the ghostwriter already?
BOJACK," What, you want me to call this woman on the phone? "
PIG DOCTOR," Well, you just had another anxiety attack."
BOJACK," And Entertainment Weekly said I wasn't consistent. Really, not even a pity laugh? I did almost die."
TODD, Ha.
PIG DOCTOR, I have to check on some other patients.
BOJACK, You have other patients?
TODD," BoJack, let's have a party, okay? I'll organize the whole thing. You can invite the ghostwriter and have a nice, casual conversation in a fun, pressure-free environment."
BOJACK," Okay, fine. We'll have a party."
TODD," Oh, thank God."
BOJACK, But we're not getting a cotton candy machine. I can't control myself around those things.
TODD," I totally hear what you are saying, and I will do my best."
MOB BOSS," Senor Horseman, I will never forget your generosity today. You have made a powerful ally for life. Mwah. Let's dance!"
BOJACK," Todd, who was that guy? Who are all these people?"
TODD," Oh, you know, just a variety of folks from all walks of life."
BOJACK, Is this a Quinceanera?
TODD," Oh, so any party with Mexican teenage girls is a Quinceanera? Now who's racist? "
BOJACK, I find that pinata offensive.
TODD," If you'll excuse me, I have a Virgin of Guadalupe pendant to present."
MR. PEANUTBUTTER," BoJack! Oh, good Lord."
BOJACK," Hey, Mr. Peanutbutter."
MR. PEANUTBUTTER," Can you believe this, the two of us in the same house? Is this a crossover episode? No, I'm just kidding around, man. Seriously, though, how are you?"
BOJACK," Well, I've been kind of up and -"
MR. PEANUTBUTTER,"Living the dream, huh? Yeah. Hey, we'll catch up later, all right? I want to talk to you. Erica, how are you looking so beautiful? I'm furious."
DIANE," Hey, BoJack, right? BoJack Horseman?"
BOJACK," Yes. Oh, I'm I'm sorry, I don't want to mispronounce your name."
DIANE, It's Diane.
BOJACK," Oh, Diane."
DIANE, Thanks for inviting me to your party. Sorry I haven't really been mingling. I get kind of awkward at parties.
BOJACK, Have you tried alcohol?
DIANE," I don't know. Parties make me anxious in a real broad sense. Like, look at that guy. He's having fun. Why haven't I figured it out?"
BOJACK, What guy?
DIANE," No, there's no guy there. I'm just saying, like, a guy, you know?"
BOJACK," Oh, okay, yeah."
DIANE," I'm probably just overthinking it because I never got the practice because I didn't get invited to any parties in high school. What am I talking about? You don't care about any of that. Shut up, Diane. You're at a party, compliment the host. You have a lovely home."
BOJACK," Yeah, well, if you're gonna throw away most of your adult life on some dumb sitcom, you might as well get a sweet house out of the deal, right?"
DIANE, So what are you working on these days?
BOJACK," Well, mostly I just sit around the house and complain about things."
DIANE," Yeah, how's that working out for you?"
BOJACK," I can't complain, so you know."
MR. PEANUTBUTTER," No, I will not have sex with you! This girl wants me to have sex with her. No, I'm just kidding around. You're a good sport."
BOJACK," Ugh, you know who that is?"
DIANE, Mr. Peanutbutter?
BOJACK," Yeah, he was on that show Mr. Peanutbutter's House about that dog who adopted the three human kids. What a dumb idea for a TV show."
MR. PEANUTBUTTER, You people are all right. Who wants an autograph?
BOJACK, He's so stupid he doesn't realize how miserable he should be. I envy that.
DIANE," Hey, do you know the story of the dad from The Brady Bunch?"
BOJACK," Do I know his story? If I recall correctly, he was bringing up three boys of his own."
DIANE," Right, but-"
BOJACK," They were four men living all together, but they were all alone. That is profoundly sad."
DIANE," No, the story is that the guy who played the dad hated being on The Brady Bunch because he was a real actor, and he considered it beneath him. Sound familiar?"
BOJACK," That's not all that was beneath him. Gay joke. Sorry, I'm better than that."
DIANE," Most people don't even get to do The Brady Bunch version of the thing they want to do with their lives. You're actually in a really good position now, because you can pretty much do anything you want. You're responsible for your own happiness, you know?"
BOJACK," Good Lord, that's depressing."
DIANE," No, it's not."
BOJACK, I'm responsible for my own happiness? I can't even be responsible for my own breakfast.
BOJACK, Todd! I need help.
DIANE,What would make you happy?
BOJACK," Well, finishing my memoir, I guess."
DIANE, Is that all? I can help you with that.
BOJACK," Yeah? I mean, would you even want to? You'd have to spend a lot of time with me. You'd probably get sick of me."
DIANE, I don't think that's going to happen.
BOJACK, No?
DIANE," No, BoJack."
BOJACK," Okay. Well, then I guess you're hired, but don't put all that stuff about how sad I am in the book."
DIANE," Oh, that doesn't count. We weren't on the clock yet."
BOJACK," Yeah, exactly. You're only my ghostwriter starting nah - Starting now."
DIANE, You got it.
MR. PEANUTBUTTER, BoJack!
BOJACK," Ugh, this guy."
MR. PEANUTBUTTER," Hey, man, wanted to let you know, you are out of beer. Oh, I see you've met my beautiful girlfriend, Diane Nguyen."
BOJACK," Whoa, whoa, whoa, wait a second. You drank all my beer? Also, you two are dating?"
MR. PEANUTBUTTER, Yeah.
BOJACK, You're dating him?
DIANE, Yes.
BOJACK, This is your boyfriend?
DIANE, That is correct.
MR. PEANUTBUTTER, Uh-huh.
BOJACK, You are going out with you?
BOTH, Uh-huh.
BOJACK," But in a sexual way, not just as friends?"
DIANE, That's right.
BOJACK, You have seen her naked.
MR. PEANUTBUTTER," Many times, yes."
BOJACK, You are attracted to this?
DIANE, Yes.
BOJACK, This penis has been inside this vagina.
DIANE, Yep.
BOJACK, But in a sexual way.
MR. PEANUTBUTTER," Oh, yes."
BOJACK," Ugh. Oh, my God."
DIANE, Are you okay?
BOJACK, I'm just...I'm fine. I'm just I'm really happy for you. 
MR. PEANUTBUTTER," Should we get someone, or-"
BOJACK," No, everything's Oh, this is really Wonderful. Oh, God. Starting now."
,
S1E2,
BARTENDER," Say ""when."""
BOJACK, When.
PAM," Yeah, you'll never guess who's here—Think '90s—No, BoJack Horseman from Horsin' Around—No, I mean, he got a little fatter, but it's definitely him. He looks really sad. It's hilarious. (laughs) Get over here now."
BOJACK," I told you, I don't know where it is. Don't put things in my butt if you want them back."
LAURA," And hold for Princess Carolyn, please."
BOJACK," Thanks, Laura."
PRINCESS CAROLYN," BoJack, it's your favorite agent."
BOJACK," Yeah, some agent, you couldn't even get me in the room for War Horse. There were, like, ten horses in that movie. I didn't need to be the warhorse."
PRINCESS CAROLYN," Listen, dummy, I want to make sure you're all set for your first day with Diane tomorrow."
BOJACK, Is she gonna ask me a bunch of personal questions?
PRINCESS CAROLYN," The woman we're paying to ghostwrite your memoir? Yeah, probably."
BOJACK," Okay, all right, there's no need to get—"
PRINCESS CAROLYN," What, catty? Are you gonna say catty"
BOJACK," I was not gonna say ""catty."""
PRINESS CAROLYN," Oh, what were you gonna say?"
BOJACK, I was gonna say catty because you're a cat.
PRINCESS CAROLYN," Goodbye, BoJack."
BOJACK," Laura, I know you're listening. You got it, right?"
PRINESS CAROLYN," Laura, do not respond to him. Goodbye, BoJack."
BOJACK, She got it.
GIRLS," Oh, my God. Take another one. Take another one."
BOJACK," Excuse me, I just wanted you to know that you ruined someone else's night tonight, and I hope you have enough decency to at least feel a little bit crappy about it."
PAM, Excuse me?
BOJACK," I was actually already in a bad mood, but I thought maybe for one night, I could go out to a bar and try to forget about myself, but now because of you and your friends, I feel more self-conscious than ever."
PAM," If we were bothering you so much, why didn't you just leave?"
BOJACK," Because I didn't think of that, and now I feel stupid."
PAM," Look, I have a right to be here."
BOJACK," No! Maybe because you're skinny and maybe 'cause you're pretty, you're used to getting away with things, but I want you to know that your actions have an effect on others,and I hate you, and you are a horrible person, and you not understanding that you're a horrible person doesn't make you less of a horrible person."
PAM, You think I'm pretty?
BOJACK," Well, that was another in a long series of regrettable life choices."
PAM, What'd you say? I was tweeting about all the weird stuff you do in bed.
PAM, Good morning.
BOJACK, Ah! Why are you here?
PAM, I slept here.
BOJACK," Yeah, but why are you still here?"
PAM, Breakfast.
BOJACK, That better not be my last Toaster Strudel.
PAM," No, there were three left."
BOJACK," Well, get out of here. My memoirist is gonna show up soon, and I don't need you— What's your name?"
PAM, Pam.
BOJACK, I don't need you Pamm-ing up the place when she gets here.
DIANE," Hey, BoJack."
BOJACK, Ah! Why are you here?
DIANE, You told me to come at nine.
BOJACK, That doesn't sound like me.
DIANE," I have your email right here. ""Diane, why don't you come over Tuesday morning at nine? Also, you should bring this email with you, because I might not remember it, because I just took a bunch of horse tranquilizers, ha-ha. Also, please don't put in my book that I use horse tranquilizers, ha-ha. I just use a small dose to help me fall asleep at night and then a much, much larger dose to get me through the day. Also, I'm drunk. Also, I'm alone, so alone, so, so alone. Please don't put that in my book, book, book, book—'em, dildo. Does it taste like magenta in here?"" Then I think you fell asleep on the keyboard because it just says the letter ""b"" twenty-seven times."
BOJACK," That does sound like me. Well, anyway, this is my—business-person—"
PAM, Excuse me?
BOJACK, Here to help me with some business needs. All very above board.
PAM," Uh, what'd you say?"
BOJACK," No need to mention her in the book either, unless it's a business book."
MR. PEANUTBUTTER," Ha ha, classic BoJack."
BOJACK, Why are you here?
MR. PEANUTBUTTER," Oh, funny story, I'm filming a reality show later, so I thought I'd drop by with the old tennis ball and chain."
BOJACK," That is neither funny, nor a story, nor a reason for you to drop by."
DIANE," Aw, he just wanted to come over and brag about his reality show."
MR. PEANUTBUTTER," Get this, I am starring in a pilot presentation for a celebrity reality show. It's pretty cutting edge, huh?"
BOJACK," Yeah, if it's 2003."
MR. PEANUTBUTTER," Ha ha. Don't tell VH1 that. Seriously, though, please don't tell VH1 that. We are calling it Peanutbutter and Jelly. Get it? Because I'm Mr. Peanutbutter."
BOJACK," Okay, who's jelly?"
MR. PEANUTBUTTER," No, no, no. It's like a peanut butter and jelly sandwich. It's wordplay."
BOJACK," You may have too forgiving a definition of the word ""wordplay."""
MR. PEANUTBUTTER," Well, it's a working title."
BOJACK," Well, it could be working harder, and that's wordplay. How'd you even get in here?"
DIANE, Your roommate let us in.
TODD," ""Mi casa es su casa."""
BOJACK," And that is the last of the Toaster Strudels, and now my morning is ruined."
TODD," Could you guys keep it down, okay? I'm kind of on a date right now. ""In America, I am actually considered very handsome."""
BOJACK," Okay, I'm gonna go get breakfast, and when I get back, I want everyone out of my house except for —you and you and—Who are you again?"
PAM, The girl you had sex with.
BOJACK, Right. You definitely should have already been gone.
POODLE LADY, I really shouldn't eat chocolate 'cause it can literally kill me.
CORGI LADY," Oh, I know."
POODLE LADY, But I love chocolate.
CORGI LADY, Story of my life.
NEAL MCBEAL," Hey, excuse me."
BOJACK," Yes, I am BoJack Horseman, star of Horsin' Around."
NEAL MCBEAL," Yeah, okay, I don't care. Those are my muffins."
BOJACK," I'm sorry, I—I don't understand. Did you bring them into the store with you or?"
NEAL MCBEAL," No, but I was going to buy them. That's the last box, and I had dibs on them."
BOJACK, Really? You had dibs?
NEAL MCBEAL," Yeah, dibs. I just put them down for a second while I went to the bathroom."
BOJACK," Look, I don't even want the muffins. I was just looking at them, but I got to say, if you put muffins down, they're not your muffins."
NEAL MCBEAL," So what, I was supposed to take them into the bathroom with me?"
BOJACK, You didn't even put the muffins in a cart. You just left them out here.
NEAL MCBEAL," Yeah, in the produce section. Clearly, muffins aren't supposed to be in the produce section. That wasn't a sign to you that maybe someone else had dibs?"
BOJACK," Look, I don't want to get into a whole thing here."
NEAL MCBEAL, Then give me the muffins.
BOJACK ,"No, 'cause maybe now I want the muffins."
NEAL MCBEAL," You think that because you're a pseudo-celebrity, normal rules don't apply to you?"
BOJACK," Pseudo?! Would you say that to Eric McCormack? Look, I've had a rough morning, so I don't need—"
NEAL MCBEAL, You've had a rough morning? I spent the last ten months—Hey!
BOJACK," Sorry, wasn't listening. See ya'."
NEAL MCBEAL," You're going to regret this, BoJack Horseman."
BOJACK," Oh, really? I'm gonna regret buying muffins? What, have they got a lot of saturated fat in them? Oh, man, they do have a lot of saturated fat. Why'd I buy these?"
BOJACK," Man, I really regret buying those muffins and then eating them all on the drive home."
TODD," Well, my date with Ayako went really well. Thanks for asking."
BOJACK," I specifically didn't ask, and I'll thank you to respect my total lack of interest in your personal life."
TODD, She's hilarious. I never met a girl who was so curious about American bank routing numbers.
BOJACK, Still not interested.
DIANE, Should we get started on the book?
BOJACK, What's your hurry?
TODD, What do you guys think I should get Ayako for our twelve-hour anniversary? She wants a framed picture of my mother's maiden name.
BOJACK," Okay, let's get to work."
DIANE, Let's start at the beginning. What was your childhood like?
BOJACK, Normal.
DIANE, Normal?
BOJACK," Yeah, it was, uh, normal—normal childhood stuff."
BEATRICE," Here's your omelet. I'm sorry it's not as good as the omelets your secretary makes, but then you're not married to your secretary, are you?"
BUTTERSCOTCH," Well, maybe if my secretary also refused to get an abortion, I would be."
BOJACK," Mommy, can I have an omelet?"
BEATRICE, You're the birthday boy.
BOJACK," Normal childhood, and then just get right into the big, famous part."
DIANE," Look, if you're not ready to talk, we can wait"
BOJACK," I am ready to talk. Why wouldn't I want to talk about my parents? They're so normal. That's crazy. You sound like a crazy person, not me. Stop being so crazy, crazy. Why are you calling me crazy?"
DIANE, Okay. Was your father—
BOJACK," Hold on, I got to take this. Hello?"
LAURA," Hey, BoJack, I've got Princess Carolyn for you. It's urgent."
BOJACK," Great, put her on."
LAURA, Just a sec. I'll see if she's available.
PRINCESS CAROLYN," BoJack, are you watching MSNBSea right now?"
BOJACK," Great question. Well, I didn't fall down on my remote, randomly changing the channel to MSNBSea while simultaneously crippling myself, thus physically forcing me to watch MSNBSea, so no. No, I'm not watching MSNBSea right now."
PRINESS CAROLYN," Yeah, well, Hamlet, you might want to turn it on. They're talking about you."
BOJACK," Ooh! Good things, I hope."
