,FALSE,Name,Dialogue,senti_scores,compound,sentiment_category,,,
S1E1,FALSE,PINKY,"We're living month to month here. We're kind of counting on your autobiography to save the company, no pressure.","{'neg': 0.186, 'neu': 0.678, 'pos': 0.136, 'compound': -0.0516}",-0.0516,negative,,,
S1E1,FALSE,BOJACK,That's actually a lot of pressure.,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.296}",-0.296,negative,,,
S1E1,FALSE,PINKY,Have you considered working with a ghostwriter?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,"Ugh, no, thank you. Look, just give me one more week, and I will give you some pages that'll knock your ass back to the South Pole.","{'neg': 0.258, 'neu': 0.667, 'pos': 0.076, 'compound': -0.7184}",-0.7184,negative,,,
S1E1,FALSE,PINKY,I'm from Cincinnati. It - that doesn't matter. I'll call you in a week.,"{'neg': 0.089, 'neu': 0.911, 'pos': 0.0, 'compound': -0.0191}",-0.0191,neutral,,,
S1E1,FALSE,BOJACK,"Yes, one week. I'm telling you, this book is a top priority for me.","{'neg': 0.0, 'neu': 0.71, 'pos': 0.29, 'compound': 0.5423}",0.5423,positive,,,
S1E1,FALSE,BOJACK,"Oh, right. Yeesh.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK ON TV,You're wearing that to the prom?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,SARAH,"What, you don't think it's cute?","{'neg': 0.332, 'neu': 0.668, 'pos': 0.0, 'compound': -0.357}",-0.357,negative,,,
S1E1,FALSE,BOJACK ON TV,"Neigh way, Jose.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,"""Neigh way, Jose."" I improvised that line. I mean, it was written, but I gave it the old BoJack spin.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,TODD,"Hey, how many times have you watched this episode?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,"Yeah, but do you get it, though? Because ""nay"" means no, but it's also a thing that horses say. It works on every level.","{'neg': 0.11, 'neu': 0.827, 'pos': 0.063, 'compound': -0.296}",-0.296,negative,,,
S1E1,FALSE,TODD,I get it.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,"Ah, you don't get it.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,TODD,Are you drunk?,"{'neg': 0.545, 'neu': 0.455, 'pos': 0.0, 'compound': -0.34}",-0.34,negative,,,
S1E1,FALSE,BOJACK,"Todd, I weigh over 1,200 pounds. It takes a lot of beer to get me drunk. Yes.","{'neg': 0.133, 'neu': 0.718, 'pos': 0.149, 'compound': 0.0772}",0.0772,positive,,,
S1E1,FALSE,TODD,"Ah, yeah, I see. You're just bummed out because Princess Carolyn dumped you last night.","{'neg': 0.16, 'neu': 0.71, 'pos': 0.13, 'compound': -0.128}",-0.128,negative,,,
S1E1,FALSE,PRINCESS CAROLYN,"BoJack, we need to talk.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,"Hey, check out the rug on that guy.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,TURTLETAUB,"Slow and steady, am I right, ladies?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,Who does he think he's fooling? Turtles don't have hair.,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.4019}",-0.4019,negative,,,
S1E1,FALSE,PRINCESS CAROLYN,Stop embarrassing me. That is Lenny Turteltaub.,"{'neg': 0.49, 'neu': 0.51, 'pos': 0.0, 'compound': -0.5859}",-0.5859,negative,,,
S1E1,FALSE,BOJACK,"You know, I am not crazy about the bread here. Mm. Why do I keep eating it?","{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.2584}",0.2584,positive,,,
S1E1,FALSE,PRINCESS CAROLYN,"BoJack, can you please just listen for a second?","{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.3182}",0.3182,positive,,,
S1E1,FALSE,BOJACK,You have my undivided attention.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,PRINCESS CAROLYN,I think we should see other people.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,Were we not seeing other people?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,GIRL,"BoJack, I'm almost there.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,Wait. Shh! Shut up.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK ON TV,"Now, that's a horse of a different - cruller?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,"Oh! God, that's good comedy.","{'neg': 0.0, 'neu': 0.204, 'pos': 0.796, 'compound': 0.7777}",0.7777,positive,,,
S1E1,FALSE,PRINCESS CAROLYN,BoJack!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,"What? Everyone gets a mulligan, and my mulligan was Carey Mulligan. I'm kidding, jeez. It was Emily Mortimer.","{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.1027}",0.1027,positive,,,
S1E1,FALSE,BOJACK,What is the problem here? Are you embarrassed of me because I'm a has-been? Because you know that I'm writing that book that is gonna make everybody love me again.,"{'neg': 0.155, 'neu': 0.727, 'pos': 0.117, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,PRINCESS CAROLYN,You're not really writing a book.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,"Well, I already spent my advance, so that's a first step.","{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.2732}",0.2732,positive,,,
S1E1,FALSE,PRINCESS CAROLYN,"Look, this has been a lot of fun, but I need to start thinking about my future. I mean, you don't even respect me enough to have a baby with me.","{'neg': 0.109, 'neu': 0.82, 'pos': 0.071, 'compound': -0.2917}",-0.2917,negative,,,
S1E1,FALSE,BOJACK,"Whoa, what? I never explicitly said that.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,PRINCESS CAROLYN,You said it with your actions.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,What actions?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,PRINCESS CAROLYN,"Oh, look at that baby. Isn't he the cutest baby you ever saw?","{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.4717}",-0.4717,negative,,,
S1E1,FALSE,BOJACK,"What? What? What? No, no, wha","{'neg': 0.553, 'neu': 0.447, 'pos': 0.0, 'compound': -0.6046}",-0.6046,negative,,,
S1E1,FALSE,COP,"Step away from the stolen vehicle, sir!","{'neg': 0.368, 'neu': 0.632, 'pos': 0.0, 'compound': -0.5411}",-0.5411,negative,,,
S1E1,FALSE,BOJACK,"No, no, no. Misunderstanding, officer. I was running away from my girlfriend whom I don't respect enough to have a baby with.","{'neg': 0.461, 'neu': 0.539, 'pos': 0.0, 'compound': -0.8736}",-0.8736,negative,,,
S1E1,FALSE,COP,"Hey, aren't you the horse from Horsin' Around?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,PRINCESS CAROLYN,"Oh, face it. You're afraid of commitment.","{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.3818}",0.3818,positive,,,
S1E1,FALSE,BOJACK,I'm not afraid of commitment. I commit to things all the time. It's the following through on that commitment that I take issue with.,"{'neg': 0.171, 'neu': 0.743, 'pos': 0.086, 'compound': -0.2887}",-0.2887,negative,,,
S1E1,FALSE,PRINCESS CAROLYN,"Hey, stupid, isn't that your friend over there? Oh, Mr.","{'neg': 0.43, 'neu': 0.57, 'pos': 0.0, 'compound': -0.7208}",-0.7208,negative,,,
S1E1,FALSE,BOJACK,"Peanutbutter? God, I hope he doesn't see us.","{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.6124}",0.6124,positive,,,
S1E1,FALSE,MR. PEANUTBUTTER,Is that BoJack Horseman?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,"Oh, jeez, here we go.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,MR. PEANUTBUTTER,"Mr. Peanutbutter and BoJack Horseman in the same room. What is this, a crossover episode?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,"You know, that gets funnier every time.","{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.4019}",0.4019,positive,,,
S1E1,FALSE,MR. PEANUTBUTTER,"You're being sarcastic, but I think it does actually get funnier every time.","{'neg': 0.1, 'neu': 0.664, 'pos': 0.236, 'compound': 0.4678}",0.4678,positive,,,
S1E1,FALSE,BOJACK,We're actually in the middle of breaking up right now... so if you could just,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,MR. PEANUTBUTTER,Yeah? You're in the middle of it?,"{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.3736}",0.3736,positive,,,
S1E1,FALSE,BOJACK,"Yeah, that's right.","{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.296}",0.296,positive,,,
S1E1,FALSE,MR. PEANUTBUTTER,So would it be awkward if I joined you right now?,"{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.1531}",-0.1531,negative,,,
S1E1,FALSE,BOJACK,"Yes, actually, it's very awkward. Is that not clear?","{'neg': 0.319, 'neu': 0.47, 'pos': 0.211, 'compound': -0.0969}",-0.0969,negative,,,
S1E1,FALSE,MR. PEANUTBUTTER,"Yeah, this is awkward right now?","{'neg': 0.205, 'neu': 0.513, 'pos': 0.282, 'compound': 0.1531}",0.1531,positive,,,
S1E1,FALSE,BOJACK,"Yes, please leave.","{'neg': 0.194, 'neu': 0.0, 'pos': 0.806, 'compound': 0.5859}",0.5859,positive,,,
S1E1,FALSE,PRINCESS CAROLYN,"How are you, Mr. Peanutbutter?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,MR. PEANUTBUTTER,"Oh, living the dream, P.C., living the dream.","{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.4588}",0.4588,positive,,,
S1E1,FALSE,BOJACK,Why are you making conversation?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,PRINCESS CAROLYN,"Oh, let's see, it's the English word","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,But am I crazy that this is a bad time?,"{'neg': 0.567, 'neu': 0.433, 'pos': 0.0, 'compound': -0.8338}",-0.8338,negative,,,
S1E1,FALSE,MR. PEANUTBUTTER,"Always a Clydesdale, never a Clyde, eh, BoJack?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,What?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,MR. PEANUTBUTTER,"You'll get that one later, man.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,MR. PEANUTBUTTER,"Erica, get out of here with that face!","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,PRINCESS CAROLYN,Would it kill you to be civil? This is why we're breaking up.,"{'neg': 0.281, 'neu': 0.719, 'pos': 0.0, 'compound': -0.6908}",-0.6908,negative,,,
S1E1,FALSE,BOJACK,So it's not because of the thing with the baby?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,PRINCESS CAROLYN,"It's because of a lot of things! Waiter, could we please have the check? Thank you.","{'neg': 0.0, 'neu': 0.719, 'pos': 0.281, 'compound': 0.6239}",0.6239,positive,,,
S1E1,FALSE,BOJACK,We haven't even ordered yet.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,PRINCESS CAROLYN,"I have wasted so many dinners on you, BoJack Horseman. I don't know how you can expect anyone else to love you when you so clearly hate yourself.","{'neg': 0.195, 'neu': 0.597, 'pos': 0.209, 'compound': 0.1313}",0.1313,positive,,,
S1E1,FALSE,WAITER,Here you go.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,Let me see that. $10 for bread?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,I don't want to live in a society where the pre-meal bread isn't free.,"{'neg': 0.282, 'neu': 0.718, 'pos': 0.0, 'compound': -0.4449}",-0.4449,negative,,,
S1E1,FALSE,WAITER,It is free if you order a meal.,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.5106}",0.5106,positive,,,
S1E1,FALSE,PRINCESS CAROLYN,"Can you take me home, please?","{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.3182}",0.3182,positive,,,
S1E1,FALSE,BOJACK,"Yeah, but I didn't even eat that much bread. What did I have? I must have had-","{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.1531}",0.1531,positive,,,
S1E1,FALSE,WAITER,"You ate nine baskets, sir.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,"Nine really? Great, now I'm gonna feel like a fat ass all week.","{'neg': 0.18, 'neu': 0.464, 'pos': 0.355, 'compound': 0.5256}",0.5256,positive,,,
S1E1,FALSE,BOJACK,You've seen me naked. Do you think I'm getting chubby?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,PRINCESS CAROLYN,You want to know the real reason we're breaking up?,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.0772}",0.0772,positive,,,
S1E1,FALSE,BOJACK,What was that? Sorry. Couldn't hear you over the sound of my calories not metabolizing.,"{'neg': 0.085, 'neu': 0.915, 'pos': 0.0, 'compound': -0.0772}",-0.0772,negative,,,
S1E1,FALSE,PRINCESS CAROLYN,This is so classic you. You're using this bread thing to avoid talking about our relationship.,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.296}",-0.296,negative,,,
S1E1,FALSE,BOJACK,"No, that is definitely not happening.","{'neg': 0.247, 'neu': 0.449, 'pos': 0.303, 'compound': 0.128}",0.128,positive,,,
S1E1,FALSE,PRINCESS CAROLYN,I'd like to go home now.,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",0.3612,positive,,,
S1E1,FALSE,BOJACK,You think I'm fat.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,"So yeah, technically I was dumped, but the real headline of the evening was, ""Dumb guy eats bread, gets fat, the end.""","{'neg': 0.242, 'neu': 0.691, 'pos': 0.067, 'compound': -0.6761}",-0.6761,negative,,,
S1E1,FALSE,TODD,What kind of headline is that?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,Wasn't there a pizza here a second ago? God damn it! Stop the presses.,"{'neg': 0.319, 'neu': 0.552, 'pos': 0.129, 'compound': -0.4753}",-0.4753,negative,,,
S1E1,FALSE,TODD,"You're not fat. Oh, hey, let's throw a party. That'll cheer you up.","{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.7184}",0.7184,positive,,,
S1E1,FALSE,BOJACK,"No, it won't. It'll cheer you up.","{'neg': 0.495, 'neu': 0.505, 'pos': 0.0, 'compound': -0.5996}",-0.5996,negative,,,
S1E1,FALSE,BOJACK,I'll stand in the corner by myself eating cotton candy until I barf like I did at your last party.,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.6369}",0.6369,positive,,,
S1E1,FALSE,STRANGER,"Hey, aren't you the horse from Horsin' Around?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,TODD,"That was a good party. Hey, didn't we get a cotton candy machine for that party?","{'neg': 0.0, 'neu': 0.57, 'pos': 0.43, 'compound': 0.8074}",0.8074,positive,,,
S1E1,FALSE,BOJACK,Who told you Princess Carolyn and I broke up?,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.4215}",-0.4215,negative,,,
S1E1,FALSE,TODD,She did.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,What?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,PRINCESS CAROLYN,"You never took me home, jerk!","{'neg': 0.35, 'neu': 0.65, 'pos': 0.0, 'compound': -0.4003}",-0.4003,negative,,,
S1E1,FALSE,BOJACK,"Oh, everything's my fault.","{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}",-0.4019,negative,,,
S1E1,FALSE,PRINCESS CAROLYN,Take me home.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
S1E1,FALSE,BOJACK,"Okay, jeez. But I'm not looking for parking in Silver Lake. I'll slow the car down to a crawl, and you can duck and roll.","{'neg': 0.0, 'neu': 0.941, 'pos': 0.059, 'compound': 0.1154}",0.1154,positive,,,
S1E1,FALSE,PRINCESS CAROLYN,"You know what, you can take a last look at this face, because it's the last time you're gonna see it- Hey-up!","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,neutral,,,
